,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
91,2023-09-11,4210887,523708315,125.0,126.0,122.5,125.0,-1.0,3185
92,2023-09-12,4757125,602637463,125.0,128.0,124.0,127.0,2.0,3259
93,2023-09-13,7583669,981587355,127.5,131.0,127.0,129.5,2.5,4729
94,2023-09-14,5418152,701413441,131.0,131.0,127.5,129.0,-0.5,3914
95,2023-09-15,3584418,464260624,129.5,130.0,128.5,129.0,0.0,2377
96,2023-09-18,3026258,392190022,128.0,130.5,128.0,129.0,0.0,1900
97,2023-09-19,3614581,467158426,130.0,130.5,128.0,129.0,0.0,2710
98,2023-09-20,3335496,431100649,130.5,130.5,128.0,128.5,-0.5,2714
99,2023-09-21,2953927,373940622,128.5,128.5,125.5,126.5,-2.0,2351
100,2023-09-22,1964070,248442302,125.0,127.5,124.5,127.0,0.5,1525
101,2023-09-25,2638669,332023267,126.5,127.5,125.0,126.0,-1.0,2021
102,2023-09-26,2817030,349096193,126.0,126.0,123.0,123.5,-2.5,2167
103,2023-09-27,1449784,178828860,123.5,124.0,122.5,123.5,0.0,1149
104,2023-09-28,1719278,212133163,123.5,124.5,123.0,123.0,-0.5,1052
105,2023-10-02,1833539,226595218,123.5,125.0,122.5,123.5,0.5,1473
106,2023-10-03,1649576,205080792,124.0,126.0,123.5,123.5,0.0,1272
107,2023-10-04,2197417,273664694,123.5,125.5,123.0,124.5,1.0,1748
108,2023-10-05,1798026,223969169,125.5,125.5,124.0,124.0,-0.5,1511
109,2023-10-06,1610723,199922321,125.0,125.0,123.5,124.0,0.0,1291
110,2023-10-11,2360030,290304388,124.5,124.5,122.0,123.0,-1.0,2057
111,2023-10-12,2065655,252782343,123.5,123.5,121.5,122.5,-0.5,1575
112,2023-10-13,1686165,207567699,123.5,124.5,122.0,123.0,0.5,1422
113,2023-10-16,1874330,230688294,122.5,124.0,122.0,122.5,-0.5,1661
114,2023-10-17,1867432,229110767,123.5,123.5,122.0,122.5,0.0,1293
115,2023-10-18,3617846,450531075,123.5,125.5,123.0,125.0,2.5,2529
116,2023-10-19,2635811,326611614,125.5,126.0,122.5,123.0,-2.0,1944
117,2023-10-20,2785354,346051456,123.0,125.5,122.0,125.0,2.0,2171
118,2023-10-23,4138360,521998771,124.5,127.0,124.0,126.0,1.0,2419
119,2023-10-24,2712076,344342233,127.5,128.0,126.0,126.5,0.5,2132
120,2023-10-25,1488499,187980215,127.5,127.5,125.5,126.0,-0.5,1469
121,2023-10-26,2636472,333615435,125.0,128.0,125.0,126.0,0.0,1982
122,2023-10-27,2123584,268878801,127.5,128.0,125.5,126.0,0.0,1684
123,2023-10-30,1841002,230509009,126.0,127.0,124.0,124.5,-1.5,1616
124,2023-10-31,3279681,408927400,125.0,126.0,123.5,124.0,-0.5,1940
